engine.cpp( 83:16 ): Rotation: pitch: 0, yaw: -0, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0054365573, yaw: -0.054261826, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.0054365573, yaw: -0.054261826, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.00407489, yaw: -0.054261822, roll: 7.286682e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.00407489, yaw: -0.054261822, roll: 7.286682e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.00407489, yaw: -0.054261822, roll: 7.286682e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.00407489, yaw: -0.054261822, roll: 7.286682e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.00407489, yaw: -0.054261822, roll: 7.286682e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.00407489, yaw: -0.053983223, roll: 7.286572e-12
engine.cpp( 83:16 ): Rotation: pitch: -0.0043550045, yaw: -0.050341725, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.007141545, yaw: -0.040588837, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.01133023, yaw: -0.027743535, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.014990803, yaw: -0.015454468, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.018347867, yaw: -0.00062743574, roll: -9.094949e-13
engine.cpp( 83:16 ): Rotation: pitch: -0.022012105, yaw: 0.020311072, roll: -1.4554916e-11
engine.cpp( 83:16 ): Rotation: pitch: -0.028158393, yaw: 0.0485281, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.033920586, yaw: 0.07812485, roll: 1.167715e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.039152075, yaw: 0.11239107, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.042503, yaw: 0.13947774, roll: 0
engine.cpp( 83:16 ): Rotation: pitch: -0.044455703, yaw: 0.16067854, roll: 2.3586888e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.044455703, yaw: 0.171861, roll: -2.3631194e-10
engine.cpp( 83:16 ): Rotation: pitch: -0.043059226, yaw: 0.17716761, roll: 2.3653313e-10
